Gép azonosítószám;Feeder lokáció;Cikkszám;Model
1;121;CLA_033333115;Tosca F08
1;122;EPR008E90;Tosca F08
1;123;CLA_033560115;Tosca F08
1;124;CLA_043473101;Tosca F08
1;125;CLA_043850800;Tosca F08
1;129;EPR008F90;Tosca F08
1;130;CLA_125205500;Tosca F08
1;202;EPM007790;Tosca F08
1;203;CLA_051697700;Tosca F08
1;205;CLA_033563115;Tosca F08
1;206;CLA_033330115;Tosca F08
1;207;CLA_033222115;Tosca F08
1;208;CLA_033101115;Tosca F08
1;209;CLA_033000005;Tosca F08
1;210;CLA_032022106;Tosca F08
1;211;CLA_043370491;Tosca F08
1;212;CLA_043370891;Tosca F08
1;213;CLA_032022174;Tosca F08
1;214;EPR008J90;Tosca F08
1;215;CLA_125705190;Tosca F08
1;216;EPR008H90;Tosca F08
1;217;CLA_051310500;Tosca F08
1;219;CLA_043471695;Tosca F08
1;220;CLA_043471691;Tosca F08
1;221;CLA_043471690;Tosca F08
1;222;CLA_116100115;Tosca F08
1;223;CLA_125901592;Tosca F08
1;224;EPR008D90;Tosca F08
1;225;CLA_043571693;Tosca F08
1;226;CLA_043530690;Tosca F08
1;227;CLA_032021072;Tosca F08
1;228;CLA_043471490;Tosca F08
1;229;CLA_010315751;Tosca F08
1;233;EPM007G90;Tosca F08
1;234;EPM007D90;Tosca F08
1;236;CLA_032072242A;Tosca F08
1;238;EPM007590;Tosca F08
1;239;ERD001A90;Tosca F08
2;105;CLA_051381591;Tosca F08
2;107;CLA_043370890;Tosca F08
2;108;CLA_043370893;Tosca F08
2;109;CLA_043471693;Tosca F08
2;111;CLA_117109115;Tosca F08
2;113;CLA_043770490;Tosca F08
2;114;CLA_043651090;Tosca F08
2;115;CLA_043630791;Tosca F08
2;116;CLA_043270491;Tosca F08
2;117;CLA_043270391;Tosca F08
2;119;CLA_032022108;Tosca F08
2;121;CLA_043370790;Tosca F08
2;122;CLA_043370392;Tosca F08
2;123;CLA_032021064;Tosca F08
2;125;CLA_032016391;Tosca F08
2;127;CLA_010380350;Tosca F08
2;129;CLA_043770190;Tosca F08
2;130;EPR008L90;Tosca F08
2;131;EDD001B90;Tosca F08
2;132;EPM007A90;Tosca F08
2;133;EPM007990;Tosca F08
2;201;CLA_010316352;Tosca F08
2;205;CLA_033684115;Tosca F08
2;206;CLA_032026064;Tosca F08
2;207;CLA_033471115;Tosca F08
2;208;CLA_032022153;Tosca F08
2;209;CLA_032022122;Tosca F08
2;210;CLA_116000005;Tosca F08
2;211;CLA_032022109;Tosca F08
2;212;EPM007890;Tosca F08
2;213;CLA_051382400;Tosca F08
2;215;CLA_043471591;Tosca F08
2;216;CLA_043471580;Tosca F08
2;217;CLA_125901594;Tosca F08
2;218;CLA_125204691;Tosca F08
2;219;CLA_116102115;Tosca F08
2;220;CLA_043572690;Tosca F08
2;221;CLA_043670890;Tosca F08
2;222;CLA_043270790;Tosca F08
2;223;CLA_043570295;Tosca F08
2;224;CLA_032021091;Tosca F08
2;225;CLA_032021003;Tosca F08
2;226;EPM007H90;Tosca F08
2;227;CLA_010362592;Tosca F08
2;229;CLA_001271000;Tosca F08
2;231;CLA_043671390;Tosca F08
2;235;EPM007F90;Tosca F08
2;236;EDT000S90;Tosca F08
2;237;EPR008B90;Tosca F08
2;238;EPM007290;Tosca F08
2;241;ERD001B90;Tosca F08
3;101;CLA_051669800;Tosca F08
3;111;CLA_010363451;Tosca F08
3;115;CLA_051209800;Tosca F08
3;119;CLA_010363450;Tosca F08
3;201;CLA_043631290;Tosca F08
3;202;EPM007B90;Tosca F08
3;203;CLA_032025350;Tosca F08
3;205;CLA_125808400;Tosca F08
3;207;CLA_119153115;Tosca F08
3;208;CLA_119000005;Tosca F08
3;209;CLA_051944600;Tosca F08
3;211;CLA_051381590;Tosca F08
3;213;CLA_043471786;Tosca F08
3;214;CLA_043471696;Tosca F08
3;215;CLA_043471694;Tosca F08
3;216;CLA_043471692;Tosca F08
3;217;CLA_043470790;Tosca F08
3;218;CLA_043370892;Tosca F08
3;219;CLA_043420593;Tosca F08
3;221;CLA_043370490;Tosca F08
3;222;CLA_043340990;Tosca F08
3;223;CLA_043250490;Tosca F08
3;224;CLA_043450592;Tosca F08
3;227;CLA_042405991;Tosca F08
3;229;CLA_033332115;Tosca F08
3;231;CLA_033103115;Tosca F08
3;232;EPR008G90;Tosca F08
3;233;CLA_051544308;Tosca F08
3;235;CLA_032025351;Tosca F08
3;237;CLA_010228564;Tosca F08
3;239;CLA_001493900;Tosca F08
3;240;CLA_001433025;Tosca F08
3;241;CLA_001051770;Tosca F08
3;245;CLA_032021352;Tosca F08
3;247;EPM007C90;Tosca F08
3;248;EPM007690;Tosca F08
3;249;CLA_051552200;Tosca F08
3;250;EDD001A90;Tosca F08
3;251;EPR008C90;Tosca F08
3;253;EPM007390;Tosca F08
4;113;CLA_042510290;Tosca F08
4;117;CLA_001434050;Tosca F08
4;207;CLA_051382401;Tosca F08
4;215;CLA_010381250;Tosca F08
4;225;CLA_074308724;Tosca F08
4;231;CLA_074419900;Tosca F08
4;237;CLA_042408090;Tosca F08
4;1;CLA_074418502;Tosca F08
4;1;CLA_074418500;Tosca F08
4;1;CLA_074418501;Tosca F08
4;1;CLA_051860400;Tosca F08
1;105;CLA_001270601;Tosca F08
1;106;CLA_043851000;Tosca F08
1;107;CLA_010349851;Tosca F08
1;108;CLA_043670791;Tosca F08
1;109;CLA_032028150;Tosca F08
1;110;CLA_043670793;Tosca F08
1;111;CLA_043671590;Tosca F08
1;112;CLA_043671591;Tosca F08
1;113;CLA_043770090;Tosca F08
1;114;CLA_043670792;Tosca F08
1;115;CLA_043850900;Tosca F08
1;116;CLA_117100115;Tosca F08
1;117;CLA_117102115;Tosca F08
1;119;CLA_033102115;Tosca F08
1;121;CLA_033333115;Tosca F08
1;122;EPR008E90;Tosca F08
1;123;CLA_033560115;Tosca F08
1;124;CLA_043473101;Tosca F08
1;125;CLA_043850800;Tosca F08
1;129;EPR008F90;Tosca F08
1;130;CLA_125205500;Tosca F08
1;202;EPM007790;Tosca F08
1;203;CLA_051697700;Tosca F08
1;205;CLA_033563115;Tosca F08
1;206;CLA_033330115;Tosca F08
1;207;CLA_033222115;Tosca F08
1;208;CLA_033101115;Tosca F08
1;209;CLA_033000005;Tosca F08
1;210;CLA_032022106;Tosca F08
1;211;CLA_043370491;Tosca F08
1;212;CLA_043370891;Tosca F08
1;213;CLA_032022174;Tosca F08
1;214;EPR008J90;Tosca F08
1;215;CLA_125705190;Tosca F08
1;216;EPR008H90;Tosca F08
1;217;CLA_051310500;Tosca F08
1;219;CLA_043471695;Tosca F08
1;220;CLA_043471691;Tosca F08
1;221;CLA_043471690;Tosca F08
1;222;CLA_116100115;Tosca F08
1;223;CLA_125901592;Tosca F08
1;224;EPR008D90;Tosca F08
1;225;CLA_043571693;Tosca F08
1;226;CLA_043530690;Tosca F08
1;227;CLA_032021072;Tosca F08
1;228;CLA_043471490;Tosca F08
1;229;CLA_010315751;Tosca F08
1;233;EPM007G90;Tosca F08
1;234;EPM007D90;Tosca F08
1;236;CLA_032072242A;Tosca F08
1;238;EPM007590;Tosca F08
1;239;ERD001A90;Tosca F08
2;105;CLA_051381591;Tosca F08
2;107;CLA_043370890;Tosca F08
2;108;CLA_043370893;Tosca F08
2;109;CLA_043471693;Tosca F08
2;111;CLA_117109115;Tosca F08
2;113;CLA_043770490;Tosca F08
2;114;CLA_043651090;Tosca F08
2;115;CLA_043630791;Tosca F08
2;116;CLA_043270491;Tosca F08
2;117;CLA_043270391;Tosca F08
2;119;CLA_032022108;Tosca F08
2;121;CLA_043370790;Tosca F08
2;122;CLA_043370392;Tosca F08
2;123;CLA_032021064;Tosca F08
2;125;CLA_032016391;Tosca F08
2;127;CLA_010380350;Tosca F08
2;129;CLA_043770190;Tosca F08
2;130;EPR008L90;Tosca F08
2;131;EDD001B90;Tosca F08
2;132;EPM007A90;Tosca F08
2;133;EPM007990;Tosca F08
2;201;CLA_010316352;Tosca F08
2;205;CLA_033684115;Tosca F08
2;206;CLA_032026064;Tosca F08
2;207;CLA_033471115;Tosca F08
2;208;CLA_032022153;Tosca F08
2;209;CLA_032022122;Tosca F08
2;210;CLA_116000005;Tosca F08
2;211;CLA_032022109;Tosca F08
2;212;EPM007890;Tosca F08
2;213;CLA_051382400;Tosca F08
2;215;CLA_043471591;Tosca F08
2;216;CLA_043471580;Tosca F08
2;217;CLA_125901594;Tosca F08
2;218;CLA_125204691;Tosca F08
2;219;CLA_116102115;Tosca F08
2;220;CLA_043572690;Tosca F08
2;221;CLA_043670890;Tosca F08
2;222;CLA_043270790;Tosca F08
2;223;CLA_043570295;Tosca F08
2;224;CLA_032021091;Tosca F08
2;225;CLA_032021003;Tosca F08
2;226;EPM007H90;Tosca F08
2;227;CLA_010362592;Tosca F08
2;229;CLA_001271000;Tosca F08
2;231;CLA_043671390;Tosca F08
2;235;EPM007F90;Tosca F08
2;236;EDT000S90;Tosca F08
2;237;EPR008B90;Tosca F08
2;238;EPM007290;Tosca F08
2;241;ERD001B90;Tosca F08
3;101;CLA_051669800;Tosca F08
3;111;CLA_010363451;Tosca F08
3;115;CLA_051209800;Tosca F08
3;119;CLA_010363450;Tosca F08
3;201;CLA_043631290;Tosca F08
3;202;EPM007B90;Tosca F08
3;203;CLA_032025350;Tosca F08
3;205;CLA_125808400;Tosca F08
3;207;CLA_119153115;Tosca F08
3;208;CLA_119000005;Tosca F08
3;209;CLA_051944600;Tosca F08
3;211;CLA_051381590;Tosca F08
3;213;CLA_043471786;Tosca F08
3;214;CLA_043471696;Tosca F08
3;215;CLA_043471694;Tosca F08
3;216;CLA_043471692;Tosca F08
3;217;CLA_043470790;Tosca F08
3;218;CLA_043370892;Tosca F08
3;219;CLA_043420593;Tosca F08
3;221;CLA_043370490;Tosca F08
3;222;CLA_043340990;Tosca F08
3;223;CLA_043250490;Tosca F08
3;224;CLA_043450592;Tosca F08
3;227;CLA_042405991;Tosca F08
3;229;CLA_033332115;Tosca F08
3;231;CLA_033103115;Tosca F08
3;232;EPR008G90;Tosca F08
3;233;CLA_051544308;Tosca F08
3;235;CLA_032025351;Tosca F08
3;237;CLA_010228564;Tosca F08
3;239;CLA_001493900;Tosca F08
3;240;CLA_001433025;Tosca F08
3;241;CLA_001051770;Tosca F08
3;245;CLA_032021352;Tosca F08
3;247;EPM007C90;Tosca F08
3;248;EPM007690;Tosca F08
3;249;CLA_051552200;Tosca F08
3;250;EDD001A90;Tosca F08
3;251;EPR008C90;Tosca F08
3;253;EPM007390;Tosca F08
4;113;CLA_042510290;Tosca F08
4;117;CLA_001434050;Tosca F08
4;207;CLA_051382401;Tosca F08
4;211;CLA_042408090;Tosca F08
4;215;CLA_010381250;Tosca F08
4;225;CLA_074308724;Tosca F08
4;231;CLA_074419900;Tosca F08
4;1;CLA_074418502;Tosca F08
4;1;CLA_074418500;Tosca F08
4;1;CLA_051860400;Tosca F08
1;105;CLA_001270601;Tosca F08
1;106;CLA_043851000;Tosca F08
1;107;CLA_010349851;Tosca F08
1;108;CLA_043670791;Tosca F08
1;109;CLA_032028150;Tosca F08
1;110;CLA_043670793;Tosca F08
1;111;CLA_043671590;Tosca F08
1;112;CLA_043671591;Tosca F08
1;113;CLA_043770090;Tosca F08
1;114;CLA_043670792;Tosca F08
1;115;CLA_043850900;Tosca F08
1;116;CLA_117100115;Tosca F08
1;117;CLA_117102115;Tosca F08
1;119;CLA_033102115;Tosca F08
1;121;CLA_033333115;Tosca F08
1;122;EPR008E90;Tosca F08
1;123;CLA_033560115;Tosca F08
1;124;CLA_043473101;Tosca F08
1;125;CLA_043850800;Tosca F08
1;129;EPR008F90;Tosca F08
1;130;CLA_125205500;Tosca F08
1;202;EPM007790;Tosca F08
1;203;CLA_051697700;Tosca F08
1;205;CLA_033563115;Tosca F08
1;206;CLA_033330115;Tosca F08
1;207;CLA_033222115;Tosca F08
1;208;CLA_033101115;Tosca F08
1;209;CLA_033000005;Tosca F08
1;210;CLA_032022106;Tosca F08
1;211;CLA_043370491;Tosca F08
1;212;CLA_043370891;Tosca F08
1;213;CLA_032022174;Tosca F08
1;214;EPR008J90;Tosca F08
1;215;CLA_125705190;Tosca F08
1;216;EPR008H90;Tosca F08
1;217;CLA_051310500;Tosca F08
1;219;CLA_043471695;Tosca F08
1;220;CLA_043471691;Tosca F08
1;221;CLA_043471690;Tosca F08
1;222;CLA_116100115;Tosca F08
1;223;CLA_125901592;Tosca F08
1;224;EPR008D90;Tosca F08
1;225;CLA_043571693;Tosca F08
1;226;CLA_043530690;Tosca F08
1;227;CLA_032021072;Tosca F08
1;228;CLA_043471490;Tosca F08
1;229;CLA_010315751;Tosca F08
1;233;EPM007G90;Tosca F08
1;234;EPM007D90;Tosca F08
1;236;CLA_032072242A;Tosca F08
1;238;EPM007590;Tosca F08
1;239;ERD001A90;Tosca F08
2;105;CLA_051381591;Tosca F08
2;107;CLA_043370890;Tosca F08
2;108;CLA_043370893;Tosca F08
2;109;CLA_043471693;Tosca F08
2;111;CLA_117109115;Tosca F08
2;113;CLA_043770490;Tosca F08
2;114;CLA_043651090;Tosca F08
2;115;CLA_043630791;Tosca F08
2;116;CLA_043270491;Tosca F08
2;117;CLA_043270391;Tosca F08
2;119;CLA_032022108;Tosca F08
2;121;CLA_043370790;Tosca F08
2;122;CLA_043370392;Tosca F08
2;123;CLA_032021064;Tosca F08
2;125;CLA_032016391;Tosca F08
2;127;CLA_010380350;Tosca F08
2;129;CLA_043770190;Tosca F08
2;130;EPR008L90;Tosca F08
2;131;EDD001B90;Tosca F08
2;132;EPM007A90;Tosca F08
2;133;EPM007990;Tosca F08
2;201;CLA_010316352;Tosca F08
2;205;CLA_033684115;Tosca F08
2;206;CLA_032026064;Tosca F08
2;207;CLA_033471115;Tosca F08
2;208;CLA_032022153;Tosca F08
2;209;CLA_032022122;Tosca F08
2;210;CLA_116000005;Tosca F08
2;211;CLA_032022109;Tosca F08
2;212;EPM007890;Tosca F08
2;213;CLA_051382400;Tosca F08
2;215;CLA_043471591;Tosca F08
2;216;CLA_043471580;Tosca F08
2;217;CLA_125901594;Tosca F08
2;218;CLA_125204691;Tosca F08
2;219;CLA_116102115;Tosca F08
2;220;CLA_043572690;Tosca F08
2;221;CLA_043670890;Tosca F08
2;222;CLA_043270790;Tosca F08
2;223;CLA_043570295;Tosca F08
2;224;CLA_032021091;Tosca F08
2;225;CLA_032021003;Tosca F08
2;226;EPM007H90;Tosca F08
2;227;CLA_010362592;Tosca F08
2;229;CLA_001271000;Tosca F08
2;231;CLA_043671390;Tosca F08
2;235;EPM007F90;Tosca F08
2;236;EDT000S90;Tosca F08
2;237;EPR008B90;Tosca F08
2;238;EPM007290;Tosca F08
2;241;ERD001B90;Tosca F08
3;101;CLA_051669800;Tosca F08
3;111;CLA_010363451;Tosca F08
3;115;CLA_051209800;Tosca F08
3;119;CLA_010363450;Tosca F08
3;201;CLA_043631290;Tosca F08
3;202;EPM007B90;Tosca F08
3;203;CLA_032025350;Tosca F08
3;205;CLA_125808400;Tosca F08
3;207;CLA_119153115;Tosca F08
3;208;CLA_119000005;Tosca F08
3;209;CLA_051944600;Tosca F08
3;211;CLA_051381590;Tosca F08
3;213;CLA_043471786;Tosca F08
3;214;CLA_043471696;Tosca F08
3;215;CLA_043471694;Tosca F08
3;216;CLA_043471692;Tosca F08
3;217;CLA_043470790;Tosca F08
3;218;CLA_043370892;Tosca F08
3;219;CLA_043420593;Tosca F08
3;221;CLA_043370490;Tosca F08
3;222;CLA_043340990;Tosca F08
3;223;CLA_043250490;Tosca F08
3;224;CLA_043450592;Tosca F08
3;227;CLA_042405991;Tosca F08
3;229;CLA_033332115;Tosca F08
3;231;CLA_033103115;Tosca F08
3;232;EPR008G90;Tosca F08
3;233;CLA_051544308;Tosca F08
3;235;CLA_032025351;Tosca F08
3;237;CLA_010228564;Tosca F08
3;239;CLA_001493900;Tosca F08
3;240;CLA_001433025;Tosca F08
3;241;CLA_001051770;Tosca F08
3;245;CLA_032021352;Tosca F08
3;247;EPM007C90;Tosca F08
3;248;EPM007690;Tosca F08
3;249;CLA_051552200;Tosca F08
3;250;EDD001A90;Tosca F08
3;251;EPR008C90;Tosca F08
3;253;EPM007390;Tosca F08
4;113;CLA_042510290;Tosca F08
4;117;CLA_001434050;Tosca F08
4;207;CLA_051382401;Tosca F08
4;211;CLA_042408090;Tosca F08
4;215;CLA_010381250;Tosca F08
4;225;CLA_074308724;Tosca F08
4;231;CLA_074419900;Tosca F08
4;1;CLA_074418502;Tosca F08
4;1;CLA_074418500;Tosca F08
4;1;CLA_074418501;Tosca F08
4;1;CLA_051860400;Tosca F08
1;105;CLA_001270601;Tosca F08
1;106;CLA_043851000;Tosca F08
1;107;CLA_010349851;Tosca F08
1;108;CLA_043670791;Tosca F08
1;109;CLA_032028150;Tosca F08
1;110;CLA_043670793;Tosca F08
1;111;CLA_043671590;Tosca F08
1;112;CLA_043671591;Tosca F08
1;113;CLA_043770090;Tosca F08
1;114;CLA_043670792;Tosca F08
1;115;CLA_043850900;Tosca F08
1;116;CLA_117100115;Tosca F08
1;117;CLA_117102115;Tosca F08
1;119;CLA_033102115;Tosca F08
1;121;CLA_033333115;Tosca F08
1;122;EPR008E90;Tosca F08
1;123;CLA_033560115;Tosca F08
1;124;CLA_043473101;Tosca F08
1;125;CLA_043850800;Tosca F08
1;129;EPR008F90;Tosca F08
1;130;CLA_125205500;Tosca F08
1;202;EPM007790;Tosca F08
1;203;CLA_051697700;Tosca F08
1;205;CLA_033563115;Tosca F08
1;206;CLA_033330115;Tosca F08
1;207;CLA_033222115;Tosca F08
1;208;CLA_033101115;Tosca F08
1;209;CLA_033000005;Tosca F08
1;210;CLA_032022106;Tosca F08
1;211;CLA_043370491;Tosca F08
1;212;CLA_043370891;Tosca F08
1;213;CLA_032022174;Tosca F08
1;214;EPR008J90;Tosca F08
1;215;CLA_125705190;Tosca F08
1;216;EPR008H90;Tosca F08
1;217;CLA_051310500;Tosca F08
1;219;CLA_043471695;Tosca F08
1;220;CLA_043471691;Tosca F08
1;221;CLA_043471690;Tosca F08
1;222;CLA_116100115;Tosca F08
1;223;CLA_125901592;Tosca F08
1;224;EPR008D90;Tosca F08
1;225;CLA_043571693;Tosca F08
1;226;CLA_043530690;Tosca F08
1;227;CLA_032021072;Tosca F08
1;228;CLA_043471490;Tosca F08
1;229;CLA_010315751;Tosca F08
1;233;EPM007G90;Tosca F08
1;234;EPM007D90;Tosca F08
1;236;CLA_032072242A;Tosca F08
1;238;EPM007590;Tosca F08
1;239;ERD001A90;Tosca F08
2;105;CLA_051381591;Tosca F08
2;107;CLA_043370890;Tosca F08
2;108;CLA_043370893;Tosca F08
2;109;CLA_043471693;Tosca F08
2;111;CLA_117109115;Tosca F08
2;113;CLA_043770490;Tosca F08
2;114;CLA_043651090;Tosca F08
2;115;CLA_043630791;Tosca F08
2;116;CLA_043270491;Tosca F08
2;117;CLA_043270391;Tosca F08
2;119;CLA_032022108;Tosca F08
2;121;CLA_043370790;Tosca F08
2;122;CLA_043370392;Tosca F08
2;123;CLA_032021064;Tosca F08
2;125;CLA_032016391;Tosca F08
2;127;CLA_010380350;Tosca F08
2;129;CLA_043770190;Tosca F08
2;130;EPR008L90;Tosca F08
2;131;EDD001B90;Tosca F08
2;132;EPM007A90;Tosca F08
2;133;EPM007990;Tosca F08
2;201;CLA_010316352;Tosca F08
2;205;CLA_033684115;Tosca F08
2;206;CLA_032026064;Tosca F08
2;207;CLA_033471115;Tosca F08
2;208;CLA_032022153;Tosca F08
2;209;CLA_032022122;Tosca F08
2;210;CLA_116000005;Tosca F08
2;211;CLA_032022109;Tosca F08
2;212;EPM007890;Tosca F08
2;213;CLA_051382400;Tosca F08
2;215;CLA_043471591;Tosca F08
2;216;CLA_043471580;Tosca F08
2;217;CLA_125901594;Tosca F08
2;218;CLA_125204691;Tosca F08
2;219;CLA_116102115;Tosca F08
2;220;CLA_043572690;Tosca F08
2;221;CLA_043670890;Tosca F08
2;222;CLA_043270790;Tosca F08
2;223;CLA_043570295;Tosca F08
2;224;CLA_032021091;Tosca F08
2;225;CLA_032021003;Tosca F08
2;226;EPM007H90;Tosca F08
2;227;CLA_010362592;Tosca F08
2;229;CLA_001271000;Tosca F08
2;231;CLA_043671390;Tosca F08
2;235;EPM007F90;Tosca F08
2;236;EDT000S90;Tosca F08
2;237;EPR008B90;Tosca F08
2;238;EPM007290;Tosca F08
2;241;ERD001B90;Tosca F08
3;101;CLA_051669800;Tosca F08
3;111;CLA_010363451;Tosca F08
3;115;CLA_051209800;Tosca F08
3;119;CLA_010363450;Tosca F08
3;201;CLA_043631290;Tosca F08
3;202;EPM007B90;Tosca F08
3;203;CLA_032025350;Tosca F08
3;205;CLA_125808400;Tosca F08
3;207;CLA_119153115;Tosca F08
3;208;CLA_119000005;Tosca F08
3;209;CLA_051944600;Tosca F08
3;211;CLA_051381590;Tosca F08
3;213;CLA_043471786;Tosca F08
3;214;CLA_043471696;Tosca F08
3;215;CLA_043471694;Tosca F08
3;216;CLA_043471692;Tosca F08
3;217;CLA_043470790;Tosca F08
3;218;CLA_043370892;Tosca F08
3;219;CLA_043420593;Tosca F08
3;221;CLA_043370490;Tosca F08
3;222;CLA_043340990;Tosca F08
3;223;CLA_043250490;Tosca F08
3;224;CLA_043450592;Tosca F08
3;227;CLA_042405991;Tosca F08
